alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Villaggio Motta,SALE MARASINO,<0.05,<1,235,56.9,<0.05,2,413,Dicembre 2019,24.7,<0.1,24.3,<5,4,<0.02,7.5,<0.5,289,1.2,6
Via Casacce,SAN GERVASIO,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Via Cicogne,SAN GERVASIO,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Via Chiesa,SAN PAOLO,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Via Giovanni XXIII,SAN PAOLO,<0.05,<1,205,71.0,<0.05,3,407,Dicembre 2019,22.7,<0.1,12.9,<5,3,<0.02,8.0,2.0,285,6.6,29
Via Grande,SAN PAOLO,<0.05,<1,210,71.7,<0.05,2,400,Dicembre 2019,22.3,<0.1,13.6,<5,2,<0.02,8.1,1.9,280,7.3,23
Piazzale Marcolini,SAN ZENO NAVIGLIO,<0.05,<1,282,90.5,<0.05,20,611,Dicembre 2019,34.5,<0.1,26.3,<5,22,<0.02,7.9,1.4,428,9.8,34
Via Bianchetti,SAN ZENO NAVIGLIO,<0.05,<1,282,96.4,<0.05,21,615,Dicembre 2019,34.9,<0.1,27.8,<5,23,<0.02,7.9,1.4,431,10.2,35
Via Mascagni,SAN ZENO NAVIGLIO,<0.05,<1,281,98.3,<0.05,23,615,Dicembre 2019,34.3,<0.1,27.7,<5,21,<0.02,7.7,1.7,431,12.7,35
Via Pace,SAN ZENO NAVIGLIO,<0.05,<1,281,96.2,<0.05,22,613,Dicembre 2019,34.2,<0.1,27.1,<5,21,<0.02,7.7,1.6,429,12.0,34
Via Castello,SENIGA,<0.05,<1,264,73.3,<0.05,10,477,Dicembre 2019,24.8,<0.1,13.0,<5,4,<0.02,8.4,0.9,334,14.8,<3
Via Regona,SENIGA,<0.05,1,265,73.8,<0.05,10,477,Dicembre 2019,24.9,<0.1,13.0,<5,4,<0.02,8.4,0.9,334,15.1,<3
Via Roda angolo Via Aldo Moro,SENIGA,<0.05,1,264,75.5,<0.05,9,474,Dicembre 2019,24.6,<0.1,13.2,<5,4,<0.02,8.3,0.9,332,15.3,<3
Piazza Boifava,SERLE,<0.05,<1,264,86.3,<0.05,6,524,Dicembre 2019,30.8,<0.1,25.7,<5,18,<0.02,8.2,0.8,367,3.9,31
Via Castello,SERLE,<0.05,<1,264,85.1,<0.05,6,524,Dicembre 2019,30.7,<0.1,25.4,<5,18,<0.02,8.2,0.8,367,3.7,30
Via Leopardi,SERLE,<0.05,<1,264,85.0,<0.05,6,524,Dicembre 2019,30.8,<0.1,25.2,<5,18,<0.02,8.2,0.8,367,3.8,31
Via Salvandine,SERLE,<0.05,<1,264,85.1,<0.05,6,524,Dicembre 2019,30.7,<0.1,25.4,<5,18,<0.02,8.2,0.8,367,3.7,30
Via XXV Aprile,SERLE,<0.05,<1,264,85.7,<0.05,6,524,Dicembre 2019,30.8,<0.1,25.7,<5,18,<0.02,8.2,0.8,367,3.8,31
Via Caduti,Sabbio Chiese,<0.05,<1,203,52.1,0.11,3,391,Dicembre 2019,22.8,<0.1,24.9,<5,5,<0.02,8.1,0.7,274,2.3,20
