alias_address,alias_city,georeferencingString,geocode,geometry
VIA AFRO,UDINE,UDINE VIA AFRO,"Viale Afro, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2650654, 46.0782897]}"
VIA AGOSTINO PETITTI DI RORETO,UDINE,UDINE VIA AGOSTINO PETITTI DI RORETO,"Via Agostino Petitti di Roreto, Chiavris, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2422109, 46.0814041]}"
VIA AGRIGENTO,UDINE,UDINE VIA AGRIGENTO,"Via Agrigento, Borgo Grazzano, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2286822, 46.0492742]}"
VIA AIELLO,UDINE,UDINE VIA AIELLO,"Via Aiello, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2513986, 46.0563516]}"
VIA ALBA,UDINE,UDINE VIA ALBA,"Via Alba, Chiavris, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2417011, 46.0861708]}"
VIA ALBERTO MAZZUCATO,UDINE,UDINE VIA ALBERTO MAZZUCATO,"Via Alberto Mazzucato, Borgo Poscolle, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2213726, 46.0572033]}"
VIA ALBERTO PICCO,UDINE,UDINE VIA ALBERTO PICCO,"Via Alberto Picco, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2467094, 46.0496843]}"
VIA ALBONA,UDINE,UDINE VIA ALBONA,"Via Albona, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2478734, 46.0690656]}"
VIA ALDO MORO,UDINE,UDINE VIA ALDO MORO,"Via Aldo Moro, Pavia di Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33050, Italia","{'type': 'Point', 'coordinates': [13.2832563, 45.9813369]}"
VIA ALESSANDRIA,UDINE,UDINE VIA ALESSANDRIA,"Via Alessandria, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2372612, 46.0827584]}"
VIA ALESSANDRO MANZONI,UDINE,UDINE VIA ALESSANDRO MANZONI,"Via Alessandro Manzoni, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2372269, 46.0594458]}"
VIA ALESSANDRO VOLTA,UDINE,UDINE VIA ALESSANDRO VOLTA,"Via Alessandro Volta, Borgo Villalta, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2236965, 46.0709212]}"
VIA ALNICCO,UDINE,UDINE VIA ALNICCO,"Vicolo Alnicco, Chiavris, Borgonuovo I, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2267595, 46.0884678]}"
VIA ALTINO,UDINE,UDINE VIA ALTINO,"Via Altino, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2523836, 46.0289614]}"
VIA AMALFI,UDINE,UDINE VIA AMALFI,"Via Amalfi, Borgo Grazzano, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2279314, 46.0496548]}"
VIA AMALTEO,UDINE,UDINE VIA AMALTEO,"Via Pomponio Amalteo, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2506672, 46.0523036]}"
VIA AMAPEZZO,UDINE,UDINE VIA AMAPEZZO,,
VIA AMPEZZO,UDINE,UDINE VIA AMPEZZO,"Via Ampezzo, Borgo di San Lazzaro, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2293808, 46.0715081]}"
VIA ANDREA PALLADIO,UDINE,UDINE VIA ANDREA PALLADIO,,
VIA ANGELO ANGELI,UDINE,UDINE VIA ANGELO ANGELI,"Via Angelo Angeli, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2197524, 46.0707278]}"
VIA ANGELO BERETTA,UDINE,UDINE VIA ANGELO BERETTA,"Via Angelo Beretta, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2655763, 46.0784595]}"
VIA ANGELO MASIERI,UDINE,UDINE VIA ANGELO MASIERI,"Via Angelo Masieri, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2576818, 46.0271075]}"
VIA ANGORIE,UDINE,UDINE VIA ANGORIE,"Via Angorie, Chiavris, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2374835, 46.0904903]}"
