alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Acquedotto  Vignana inferiore,LEVANTO,<0.05,<0.05,87.9,26.8,0.11,19.1,212,18/07/19,8.3,0.1,4,<5,1.1,<0.05,8.0,0.9,166.8,12.4,14.5
Acquedotto Casella,LEVANTO,<0.05,<0.05,136.7,45.3,0.1,17,246,11/03/19,12.4,0.1,2.7,<5,1.4,<0.05,7.7,0.9,229.6,11.3,14.2
Acquedotto Chiesanuova,LEVANTO,<0.05,<0.05,115.9,34.9,0.12,22.7,250,17/07/19,10.8,0.1,5.2,<5,1.6,<0.05,7.9,0.9,944.2,12.3,14.2
Acquedotto Fontona,LEVANTO,<0.05,0.52,99.5,25.3,0.12,16,199,17/07/19,8,<0.05,4,<5,0.4,<0.05,8.0,0.9,712.7,13.2,10.7
Acquedotto Gallona,LEVANTO,<0.05,0.05,139.1,43.7,0.04,21.9,287,17/07/19,13.4,0.1,6,<5,1.5,<0.05,7.7,1,1154.2,12.2,17.5
Acquedotto Groppo,LEVANTO,<0.05,0.23,218.4,65.7,0.1,18.9,351,11/03/19,19.1,<0.05,6.5,<5,0.7,<0.05,7.4,0.9,339.9,14.4,14.4
Acquedotto Lavaggiorosso,LEVANTO,<0.05,<0.05,151.3,38.2,0.04,11.8,249,18/07/19,12,<0.05,6.1,<5,1.5,<0.05,7.7,0.7,226.9,11,6.3
Acquedotto Legnaro,LEVANTO,<0.05,0.06,89.1,24,0.07,21.6,200,17/07/19,7.9,0.1,4.7,<5,0.9,<0.05,7.9,0.9,650.8,12.8,9.6
Acquedotto Levanto capoluogo,LEVANTO,<0.05,<0.05,195.3,57.5,0.2,18.9,343,11/03/19,18,0.1,9,<5,3.9,<0.05,7.2,1.6,323,15.1,21.6
Acquedotto Lizza,LEVANTO,<0.05,0.10,198.3,51.9,0.13,18.2,359,18/07/19,17.8,0.1,11.7,<5,2.8,<0.05,7.3,1.4,1375.5,14.1,20.9
Acquedotto Montale,LEVANTO,<0.05,0.90,105,32,0.17,16.9,223,18/07/19,9.5,0.1,3.6,<5,1,<0.05,8.0,0.9,183.3,11.1,12.7
Acquedotto Pastine Inferiore,LEVANTO,<0.05,0.78,202.6,65,0.1,14.3,310,11/03/19,17.5,<0.05,3.2,<5,0.6,<0.05,8.0,0.6,307.7,10.1,11.3
Acquedotto Ridarolo,LEVANTO,<0.05,<0.05,219.7,58.7,0.25,19.5,394,17/07/19,20,0.1,12.9,<5,2.8,<0.05,7.2,1.6,1562.8,14.9,23.8
Acquedotto Vignana inferiore,LEVANTO,<0.05,1.00,89.1,30.2,0.1,19.4,206,11/03/19,8.6,<0.05,2.6,<5,1.1,<0.05,7.8,1.3,921.5,12.6,14
Acquedotto Vignana superiore,LEVANTO,<0.05,0.10,103.7,35.1,0.2,18.5,217,11/03/19,9.8,0.1,2.5,<5,1.1,<0.05,8.0,1,188.1,12.2,13.9
Casella,LEVANTO,<0.05,0.27,131.8,39.9,0.11,17.1,254,18/07/19,11.6,0.1,4.1,<5,1.2,<0.05,7.6,0.7,220.5,11.1,14.5
Levanto  capoluogo (loc. Chiesa dei frati),LEVANTO,<0.05,0.22,201.4,53.4,0.2,19.6,356,11/03/19,17.5,0.1,10.2,<5,5.6,<0.05,7.2,1.4,307.6,12.6,3.3
