alias_city,alias_address,georeferencingString,type
SULZANO,F.P. Via Dante Alighieri,"Via Dante Alighieri, SULZANO, Brescia,  Lombardia, Italia",POINT
SULZANO,F.P. Via Vertine (Palafitte),"Via Vertine (Palafitte), SULZANO, Brescia,  Lombardia, Italia",POINT
TIGNALE,P.R. Piazza Cavour,"Piazza Cavour, TIGNALE, Brescia,  Lombardia, Italia",POINT
TIGNALE,P.R. Piazza Garibaldi,"Piazza Garibaldi, TIGNALE, Brescia,  Lombardia, Italia",POINT
TIGNALE,P.R. Piazza Ginestre,"Piazza Ginestre, TIGNALE, Brescia,  Lombardia, Italia",POINT
TIGNALE,P.R. via Pegol,"via Pegol, TIGNALE, Brescia,  Lombardia, Italia",POINT
TORBOLE,Cimitero,"Cimitero, TORBOLE, Brescia,  Lombardia, Italia",POINT
TORBOLE,F.P. Via Mazzocchi,"Via Mazzocchi, TORBOLE, Brescia,  Lombardia, Italia",POINT
TOSCOLANO MADERNO,P.R Via Caldera,"Via Caldera, TOSCOLANO MADERNO, Brescia,  Lombardia, Italia",POINT
TOSCOLANO MADERNO,P.R. Via Cecina,"Via Cecina, TOSCOLANO MADERNO, Brescia,  Lombardia, Italia",POINT
TOSCOLANO MADERNO,P.R. Via Lungolago,"Via Lungolago, TOSCOLANO MADERNO, Brescia,  Lombardia, Italia",POINT
