alias_city,alias_address,urlReport,page,data_report
TOSCOLANO MADERNO,P.R. Via Setti,https://www.acquebresciane.it/public/dam/jcr:9da0e6f8-1d05-4bb3-a459-78aeac415f07/Analisi_Acqua_ToscolanoMaderno_1_sem_2019.pdf,6,1° semestre 2019
TRAVAGLIATO,F.P. Chiesa S.Maria dei Campi,https://www.acquebresciane.it/public/dam/jcr:bdeeecc6-cd4b-426b-91c5-2d73d6959bf2/Analisi_Acqua_Travagliato_1_sem_2019.pdf,0,1° semestre 2019
TRAVAGLIATO,F.P. Via della Tecnica,https://www.acquebresciane.it/public/dam/jcr:bdeeecc6-cd4b-426b-91c5-2d73d6959bf2/Analisi_Acqua_Travagliato_1_sem_2019.pdf,1,1° semestre 2019
TRAVAGLIATO,F.P. Via Mulini,https://www.acquebresciane.it/public/dam/jcr:bdeeecc6-cd4b-426b-91c5-2d73d6959bf2/Analisi_Acqua_Travagliato_1_sem_2019.pdf,2,1° semestre 2019
TRAVAGLIATO,F.P. Via Napoleone,https://www.acquebresciane.it/public/dam/jcr:bdeeecc6-cd4b-426b-91c5-2d73d6959bf2/Analisi_Acqua_Travagliato_1_sem_2019.pdf,3,1° semestre 2019
TREMOSINE,P.R. P.zza Comboni (Voltino),https://www.acquebresciane.it/public/dam/jcr:5306de2c-7ed2-4a3e-8d57-e1334b3f909a/Analisi_Acqua_Tremosine_1_sem_2019.pdf,0,1° semestre 2019
TREMOSINE,P.R. Piazza Arrighini (Campione),https://www.acquebresciane.it/public/dam/jcr:5306de2c-7ed2-4a3e-8d57-e1334b3f909a/Analisi_Acqua_Tremosine_1_sem_2019.pdf,1,1° semestre 2019
TREMOSINE,P.R. P.zza Fossato (Pieve),https://www.acquebresciane.it/public/dam/jcr:5306de2c-7ed2-4a3e-8d57-e1334b3f909a/Analisi_Acqua_Tremosine_1_sem_2019.pdf,2,1° semestre 2019
TREMOSINE,P.R. Via Cadignano,https://www.acquebresciane.it/public/dam/jcr:5306de2c-7ed2-4a3e-8d57-e1334b3f909a/Analisi_Acqua_Tremosine_1_sem_2019.pdf,3,1° semestre 2019
TREMOSINE,P.R. Via Lesine (Arias),https://www.acquebresciane.it/public/dam/jcr:5306de2c-7ed2-4a3e-8d57-e1334b3f909a/Analisi_Acqua_Tremosine_1_sem_2019.pdf,4,1° semestre 2019
TREMOSINE,P.R. Via Terra (Sermerio),https://www.acquebresciane.it/public/dam/jcr:5306de2c-7ed2-4a3e-8d57-e1334b3f909a/Analisi_Acqua_Tremosine_1_sem_2019.pdf,5,1° semestre 2019
